Epoch: [1][720/2688], lr: 0.01000	Time 1.141 (1.106)	Data 0.000 (0.004)	Loss 4.9253 (4.7586)	Prec@1 6.250 (3.506)	Prec@5 9.375 (13.271)
Epoch: [1][760/2688], lr: 0.01000	Time 1.116 (1.105)	Data 0.000 (0.004)	Loss 5.0318 (4.7550)	Prec@1 6.250 (3.532)	Prec@5 12.500 (13.412)
Epoch: [1][800/2688], lr: 0.01000	Time 1.050 (1.103)	Data 0.000 (0.004)	Loss 5.0831 (4.7521)	Prec@1 0.000 (3.566)	Prec@5 6.250 (13.479)
Epoch: [1][840/2688], lr: 0.01000	Time 1.110 (1.102)	Data 0.000 (0.003)	Loss 4.5456 (4.7476)	Prec@1 6.250 (3.623)	Prec@5 18.750 (13.630)
Epoch: [1][880/2688], lr: 0.01000	Time 1.148 (1.101)	Data 0.000 (0.003)	Loss 4.8346 (4.7439)	Prec@1 3.125 (3.639)	Prec@5 12.500 (13.717)
Epoch: [1][920/2688], lr: 0.01000	Time 1.047 (1.099)	Data 0.000 (0.003)	Loss 4.9666 (4.7409)	Prec@1 0.000 (3.614)	Prec@5 6.250 (13.728)
Epoch: [1][960/2688], lr: 0.01000	Time 1.041 (1.097)	Data 0.000 (0.003)	Loss 4.3875 (4.7360)	Prec@1 6.250 (3.681)	Prec@5 18.750 (13.941)
Epoch: [1][1000/2688], lr: 0.01000	Time 1.039 (1.096)	Data 0.000 (0.003)	Loss 4.5388 (4.7321)	Prec@1 9.375 (3.734)	Prec@5 15.625 (14.045)
Epoch: [1][1040/2688], lr: 0.01000	Time 1.108 (1.094)	Data 0.000 (0.003)	Loss 4.7521 (4.7271)	Prec@1 0.000 (3.770)	Prec@5 21.875 (14.202)
Epoch: [1][1080/2688], lr: 0.01000	Time 1.050 (1.093)	Data 0.000 (0.003)	Loss 4.5230 (4.7229)	Prec@1 9.375 (3.787)	Prec@5 21.875 (14.344)
Epoch: [1][1120/2688], lr: 0.01000	Time 1.065 (1.092)	Data 0.000 (0.003)	Loss 4.4792 (4.7218)	Prec@1 0.000 (3.797)	Prec@5 21.875 (14.354)
Epoch: [1][1160/2688], lr: 0.01000	Time 1.043 (1.092)	Data 0.000 (0.003)	Loss 4.4803 (4.7160)	Prec@1 12.500 (3.860)	Prec@5 25.000 (14.500)
Epoch: [1][1200/2688], lr: 0.01000	Time 1.041 (1.091)	Data 0.000 (0.003)	Loss 4.4550 (4.7113)	Prec@1 0.000 (3.906)	Prec@5 21.875 (14.667)
Epoch: [1][1240/2688], lr: 0.01000	Time 1.045 (1.090)	Data 0.000 (0.002)	Loss 4.7754 (4.7055)	Prec@1 0.000 (3.989)	Prec@5 18.750 (14.859)
Epoch: [1][1280/2688], lr: 0.01000	Time 1.083 (1.089)	Data 0.000 (0.002)	Loss 4.6466 (4.7019)	Prec@1 3.125 (4.013)	Prec@5 12.500 (14.942)
Epoch: [1][1320/2688], lr: 0.01000	Time 1.040 (1.088)	Data 0.000 (0.002)	Loss 4.6972 (4.6984)	Prec@1 3.125 (4.022)	Prec@5 18.750 (15.022)
Epoch: [1][1360/2688], lr: 0.01000	Time 1.065 (1.088)	Data 0.000 (0.002)	Loss 4.6274 (4.6933)	Prec@1 3.125 (4.046)	Prec@5 21.875 (15.221)
Epoch: [1][1400/2688], lr: 0.01000	Time 1.041 (1.087)	Data 0.000 (0.002)	Loss 4.6183 (4.6888)	Prec@1 6.250 (4.080)	Prec@5 18.750 (15.351)
Epoch: [1][1440/2688], lr: 0.01000	Time 1.039 (1.086)	Data 0.000 (0.002)	Loss 4.4189 (4.6835)	Prec@1 6.250 (4.136)	Prec@5 25.000 (15.519)
Epoch: [1][1480/2688], lr: 0.01000	Time 1.054 (1.085)	Data 0.000 (0.002)	Loss 4.5758 (4.6786)	Prec@1 9.375 (4.169)	Prec@5 18.750 (15.659)
Epoch: [1][1520/2688], lr: 0.01000	Time 1.111 (1.085)	Data 0.000 (0.002)	Loss 4.5297 (4.6716)	Prec@1 9.375 (4.245)	Prec@5 21.875 (15.816)
Epoch: [1][1560/2688], lr: 0.01000	Time 1.066 (1.084)	Data 0.000 (0.002)	Loss 4.5040 (4.6658)	Prec@1 3.125 (4.306)	Prec@5 15.625 (15.971)
Epoch: [1][1600/2688], lr: 0.01000	Time 1.052 (1.084)	Data 0.000 (0.002)	Loss 4.3703 (4.6620)	Prec@1 15.625 (4.382)	Prec@5 25.000 (16.113)
Epoch: [1][1640/2688], lr: 0.01000	Time 1.096 (1.083)	Data 0.000 (0.002)	Loss 4.6384 (4.6565)	Prec@1 3.125 (4.441)	Prec@5 21.875 (16.280)
Epoch: [1][1680/2688], lr: 0.01000	Time 1.063 (1.083)	Data 0.000 (0.002)	Loss 4.2524 (4.6508)	Prec@1 9.375 (4.506)	Prec@5 31.250 (16.475)
Epoch: [1][1720/2688], lr: 0.01000	Time 1.109 (1.083)	Data 0.000 (0.002)	Loss 4.3391 (4.6455)	Prec@1 6.250 (4.545)	Prec@5 21.875 (16.658)
Epoch: [1][1760/2688], lr: 0.01000	Time 1.079 (1.083)	Data 0.000 (0.002)	Loss 4.3257 (4.6393)	Prec@1 6.250 (4.605)	Prec@5 31.250 (16.828)
Epoch: [1][1800/2688], lr: 0.01000	Time 1.104 (1.084)	Data 0.000 (0.002)	Loss 4.9654 (4.6350)	Prec@1 0.000 (4.650)	Prec@5 15.625 (16.944)
Epoch: [1][1840/2688], lr: 0.01000	Time 1.141 (1.084)	Data 0.000 (0.002)	Loss 4.4159 (4.6303)	Prec@1 9.375 (4.705)	Prec@5 25.000 (17.087)
Epoch: [1][1880/2688], lr: 0.01000	Time 1.132 (1.085)	Data 0.000 (0.002)	Loss 4.6915 (4.6256)	Prec@1 6.250 (4.761)	Prec@5 9.375 (17.198)
Epoch: [1][1920/2688], lr: 0.01000	Time 1.159 (1.085)	Data 0.000 (0.002)	Loss 4.5161 (4.6196)	Prec@1 12.500 (4.822)	Prec@5 21.875 (17.346)
Epoch: [1][1960/2688], lr: 0.01000	Time 1.076 (1.085)	Data 0.000 (0.002)	Loss 4.3168 (4.6147)	Prec@1 6.250 (4.872)	Prec@5 37.500 (17.488)
Epoch: [1][2000/2688], lr: 0.01000	Time 1.143 (1.086)	Data 0.000 (0.002)	Loss 4.4348 (4.6096)	Prec@1 9.375 (4.927)	Prec@5 9.375 (17.626)
Epoch: [1][2040/2688], lr: 0.01000	Time 1.144 (1.086)	Data 0.000 (0.002)	Loss 4.2172 (4.6036)	Prec@1 18.750 (4.996)	Prec@5 34.375 (17.795)
Epoch: [1][2080/2688], lr: 0.01000	Time 1.077 (1.087)	Data 0.000 (0.002)	Loss 4.1714 (4.5988)	Prec@1 9.375 (5.061)	Prec@5 31.250 (17.909)
Epoch: [1][2120/2688], lr: 0.01000	Time 1.104 (1.087)	Data 0.000 (0.002)	Loss 4.6441 (4.5931)	Prec@1 9.375 (5.133)	Prec@5 18.750 (18.077)
Epoch: [1][2160/2688], lr: 0.01000	Time 1.086 (1.088)	Data 0.000 (0.001)	Loss 4.1664 (4.5872)	Prec@1 9.375 (5.203)	Prec@5 28.125 (18.215)
Epoch: [1][2200/2688], lr: 0.01000	Time 1.079 (1.088)	Data 0.000 (0.001)	Loss 4.4293 (4.5821)	Prec@1 18.750 (5.277)	Prec@5 25.000 (18.348)
Epoch: [1][2240/2688], lr: 0.01000	Time 1.150 (1.088)	Data 0.000 (0.001)	Loss 4.0793 (4.5780)	Prec@1 15.625 (5.334)	Prec@5 28.125 (18.461)
Epoch: [1][2280/2688], lr: 0.01000	Time 1.041 (1.088)	Data 0.000 (0.001)	Loss 4.2001 (4.5735)	Prec@1 6.250 (5.391)	Prec@5 21.875 (18.616)
